ID,RVL,ALG,PCAD,ECAD,BIM,LIVR,QAQC
17-897_Piles_Pont_Honore-Mercier,7.25,5,0,0,17.0833,0,2.25
17-849_Gare_Windsor-Demo,0,0,0,1.5833,0,0,0
17-871_Musee_des_Ursulines,22.25,36.3333,0,0,478.9167,0,38.8333
17-909_Pointe-à-Calliere_Multimedia,13.5833,13.25,67.75,0,107.5,3.0833,19.5
17-939_Validation_pieces,0,0,0,0,0,0,0
17-776_Patrimoine_Becancour,16.9167,16.8333,0,0,0,0,4.4167
17-930_4850_Cote_St-Luc,9,6.0833,0,48.9167,0,0,11.6667
17-895_Ville_de_Sherbrooke_Artefacts,5.3333,1.6667,0,0,22.5833,0,0
17-929_Ste-Beatrix,2.5,3.8333,0,0,7.6667,0,3.8333
17-943_Fives_Solios_Vis,10.5,3.8333,0,0,0,0.75,3.75
17-926_College_Maisonneuve_espace_clos,5.5,6,0,0,0,0.5,1
17-825_AMT_Pont_Milliaire_Scan3,2.75,3.25,0,0,0,0.5,0
17-955_CHUM_salle_mecanique,2.25,1.9167,0,0,0,0,0
17-896_455_rue_St-Pierre,6,1.25,0,0,0,0,0.75
17-922_HMR_Rosemont,9.25,5.25,0,0,0,0,1
17-953_McGill_Batiment_Stewart,43.5,31.5833,0,0,0,4.75,6.6667
17-921_Chalet_objets,9.5,6.5,0,0,27.9167,0,0
17-918_Trou_de_la_Fee,2.5,0.5,0,0,1.25,0,0.75
17-910_College_Notre-Dame,11.8333,7.0833,1,0,0,0,8.5833
17-960_Rodier_Phase_2,5.5,3.4167,3.25,29.0833,0,0.8333,7
17-876_950_Mill-Centenial_culvert,7.5833,3.5,0,0,12.1667,0,2.25
17-924_College_Maisonneuve_Bloc_A,6.8333,3.5,0,0,0,0.5,1.75
17-924_College_Maisonneuve_Bloc_A,4.5,0.75,0,0,0,0.25,1.9167
17-879_ThinkWell_Orlando,0,0,0,0,0,0,0
17-879_ThinkWell_Orlando,0,0,0,0,174.8333,1.5,8
17-879_ThinkWell_Orlando,25,3,0,0,0,0,0.5
17-948_Fondation_Bon_Depart,5.6667,1.5833,0.8333,0,56.5833,7.5833,13.0833
17-931_LG3_Englobe,7.75,2.5,0,0,0,1.5,0
17-946_Hopital_de_Verdun,16.3333,8.6667,0,43.5833,0,0,4.75
17-977_Moment_Factory_NYC,6,2.1667,0,0,89.8333,0,2.25
17-977_Moment_Factory_NYC,4.5,1.75,0,0,12.0833,0,1
17-976_MCVG_Maniwaki,18.5,8.75,0,0,0,0,0
17-957_Sun_Life,22.25,19.25,0,0.5833,0,1.5,8
17-979_Delta_Trois-Rivieres,9.9167,2.5,0,0,0,0,3.75
17-692_1410_Stanley_Mtl,4.25,2.25,0,9.5,0,0,1.0833
17-945_eglise_Ste-Perpetue,12,12.1667,0,0,0,1.0833,0.75
17-961_Tafisa,7.75,8.5833,0,0,23.1667,0,0.25
17-991_Artefactuel_Maison_Trestler,4,3.0833,0,0,0,0,1
17-949_Pavillon_Le_Royer_Hotel_Dieu_Mtl,0,2.5,0,0,0,0.5,0.5
17-956_Oratoire_St-Joseph,36.75,42.8333,18.9167,0,328.3333,0,18.75
17-995_5312_Boul_Levesque_Est-Laval,4.1667,3.6667,21.1667,16.0833,0,2.5,1.75
18-1004_Facade,0,0,0,7.75,0,2.25,1.4167
17-992_Les_Ailes_Centre_Eaton,42.0833,18.0833,0,0,4.25,3,1.5
18-998_Tafisa_WESP_L2,8.75,10.4167,0,0,34.8333,0.25,0.6667
18-925_Y_Houde_HBGC,8,3.0833,0,0,47.75,0.75,0.75
17-987_Prison_Qc,32.5,52.5833,0,0,0,0.5,8
17-987_Prison_Qc,16,25,0,0,0,0,0
17-987_Prison_Qc,8,0,0,0,0,0,0
17-987_Prison_Qc,18,37.8333,0,0,0,0,0.25
17-987_Prison_Qc,6.75,16.5,0,0,0,0,1
18-988_SQI_Palais_justice_Roberval,7,3.4167,9.3333,0,0,1.25,3.75
18-1017_Meridien_bateau,0,1.5,0,0,39.0833,0,4
18-1011_Sainte-Agnes_de_Lac_Megantic,1.9167,0.6667,0,0,0,0.75,2.0833
18-984_Reconstitution_Hotel_Wellington,0,0,0,2.25,61.5833,5.5,9.6667
18-1016_Atff_Solidworks,0,0,0,0,6.25,0,0
18-990_189_Green_501_Pine_St-Lambert,4,1.5,4.1667,4.3333,4.5833,0.5,1.3333
18-996_Cirque_eloize,3,2.25,0,0,0,0,0.5
18-982_PAC_Monitoring_2018,0,3.25,0,0,0,0.5,0.5
18-954_Hotel_de_Ville_de_MTL,11.8333,1.75,0,206.5833,0,0.9167,34.1667
18-888C_Centre_Miriam_Aile-E,3.5,8.75,0,3.9167,36.75,0,6.75
18-1020_Sanimax_2,4,1.75,0,0,0,0,0
18-1032_Centre_Rosemont,1,0,0,2.5833,0,0.5,0.75
18-1025_CSDM_ecole_Espace_Jeunesse,0,0,4,35.3333,0,0,5.5
18-963_Hopital_General_interieur_Chapelle,4,10.6667,0,0,39.8333,0.1667,6.6667
18-1065_Moment_Detroit,4.5,0,0,0,0,0.6667,0
18-1034_Barils_Normal,1.1667,0.5,0,0,5.8333,0.9167,1.3333
18-1008_TMG_Silicium_Becancour,4,3.3333,0,0,0,0,0.25
18-1023_Prison_de_bordeaux,44.25,31,146.5833,0,0,1.5,26.6667
18-1064_Olymel_impartition,0,0,0,0,13.25,0,0
18-1005_Escalier_Planetarium,3.25,1.5,0,5.4167,0,0.5833,5.3333
18-1045_MQCP_6_objet_animes,8,4.3333,0,0,75.9167,1.4167,12.8333
18-1047_Polytechnique_toiture,23,7,2.75,0,15.8333,0.5833,2.75
18-790_Clocher_Olier_interieur_dome,3.25,2.5,2.9167,0,0,0,1.5
18-1080_Sainte-Therese_Avila,3.5,2.25,0,0,0,0,0.3333
18-1033_Palais_Justice_Rimouski,44.5,11.5,0,0,0,0.6667,0.25
18-1082_Rolland-paper,37.3333,29.6667,0,0,208.0833,0.25,7.5
18-897_Pont_Mercier_W3_W4,0,0,0,0,0,0,0
18-897_Pont_Mercier_W3_W4,0,0,0,0,0,1.25,0
18-1106_Sockon_Escalier,0,2,0,0,23.5833,0,1.4167
18-681_Parc_Forillon_Guerite,0,1.3333,0,0,0,0.3333,0.3333
18-1092_Centre_Dollard_Cormier,0,0,0,19.25,0,0.1667,2.5
18-1085_286_ch_du_bord_du_lac,2.5,0.5,0,0,0,0.8333,0.5
18-1071_Cotes_St-Luc_Verticalite,2,0.5,0,0,0,0.5833,1
18-1071_Cotes_St-Luc_Verticalite,3,2.25,0,0,0,0,0
18-1071_Cotes_St-Luc_Verticalite,0,0.6667,0,0,0,0,0
18-1071_Cotes_St-Luc_Verticalite,0.75,0,0,0,0,0,0
18-1040_Ristigouche,11.5,18.9167,0,0,0,0,1.5
18-936_Maison_Radio-Canada,118.7501,268.45,0,0,368.6667,0.75,16.0833
18-1078_Salle_Mecanique-Hopital_St-Jerome,20.75,18.3333,0,0,119.3333,0,0.8333
18-1093_Tembec_Temiscamingue,9.25,7,0,0,0,0,0
18-1107_Salle_spectacle_Judith_Jasmin,13.5833,3.9167,0,0,0,0,0.75
18-1111_Vitrerie_Sherbrooke_escalier,3.75,5.5,3.5833,0,44.5833,0.1667,30.9167
18-1115_ecole_Ste-Bibiane,5.5,12.8333,3.9167,3.3333,42,0,5.5
18-1117_Citadelle_Poudriere,3,3.8333,0,0,1.8333,1.25,5.1667
18-1103_Theatre_Dame-cœur,11.5,19.25,16.5,0,0,1,1.1667
18-1119_GOX_Objet3D,0,0,0,0,7.5833,0.3333,1.1667
18-1135_ecole_Ste-Claire,3.25,1.25,1.1667,46.75,0,0.8333,31.75
18-988_Palais_Justice_Roberval_ajout_1,50,73.55,0,0,0,2.4167,8.75
18-1130_Ethnoscop_Intendance,0,1.6667,0,0,0,1.25,0.5
18-1068_Abbaye_Oka,96.25,98.4167,15.75,0,1205.75,0.75,51.25
18-1132_Hopital_Juif-Pavillon_Hope,76.0833,64.8333,43,22,124.25,0.5,48.1667
18-1120_Realisation_maquette,3,0.3333,0,0,15.0833,0.5833,1.9167
18-1118_Pont_Ile_Orlean-Archeo,12.3333,15.0833,0,0,0,0,3.9167
18-1143_Kung-fu_Macau,0,10.75,0,0,0,0.75,2
18-1152_Comparatif_deformations,0,0,0,0,0,0,0
18-777_Centre_canadien_d'architecture_CCA,0,0,0,0,27.5,6.0833,6
18-777_Centre_canadien_d'architecture_CCA,162.8333,83,2,0,667.9167,1.1667,19.9167
18-777_Centre_canadien_d'architecture_CCA,27.75,9.75,0,0,0,0.8333,3.0833
18-940_BC2_Ponceaux,2.75,1.75,0,3.5,0,1.5,0
18-768_Provencher_Grand_Tronc,12,13.6667,3,0,0,0.5833,2.1667
18-1156_CSDM_Dollard-des-Ormeaux,5.75,0,0,24,0,0,3.1667
18-1159_CSDM_Academie_Dunton,10.25,9.6667,0,33.8333,0,0,18.6667
18-1160_CSDM_Saint-Jean-de-Brebeuf,7.25,9,0,36,0,0,4.0833
18-1162_CSDM_Saint-Ambroise,6.25,11.5833,0,15.25,0,0,5.6667
